Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,FileName_DAPI,FileName_Green,Group,ImageNumber,Math_PercentPositiveNuclei,Experiment
41,34,366,PGVG_1C_15_c1.tif,PGVG_1C_15_c0.tif,PGVG,64,82.92682927,1
44,28,263,PGVG_1C_16_c1.tif,PGVG_1C_16_c0.tif,PGVG,65,63.63636364,1
27,19,147,PGVG_1C_17_c1.tif,PGVG_1C_17_c0.tif,PGVG,66,70.37037037,1
41,28,203,PGVG_1C_18_c1.tif,PGVG_1C_18_c0.tif,PGVG,67,68.29268293,1
71,56,417,PGVG_1C_19_c1.tif,PGVG_1C_19_c0.tif,PGVG,68,78.87323944,1
40,33,328,PGVG_1C_20_c1.tif,PGVG_1C_20_c0.tif,PGVG,69,82.5,1
90,14,84,TwelvePtFive_2B_15_c1.tif,TwelvePtFive_2B_15_c0.tif,12.5mg,70,15.55555556,1
58,7,8,TwelvePtFive_2B_16_c1.tif,TwelvePtFive_2B_16_c0.tif,12.5mg,71,12.06896552,1
73,20,99,TwelvePtFive_2B_17_c1.tif,TwelvePtFive_2B_17_c0.tif,12.5mg,72,27.39726027,1
64,16,32,TwelvePtFive_2B_18_c1.tif,TwelvePtFive_2B_18_c0.tif,12.5mg,73,25,1
39,14,52,TwelvePtFive_2B_19_c1.tif,TwelvePtFive_2B_19_c0.tif,12.5mg,74,35.8974359,1
72,23,52,TwelvePtFive_2B_20_c1.tif,TwelvePtFive_2B_20_c0.tif,12.5mg,75,31.94444444,1
36,4,31,TwelvePtFive_2B_21_c1.tif,TwelvePtFive_2B_21_c0.tif,12.5mg,76,11.11111111,1
46,14,77,TwelvePtFive_2B_2B_11_c1.tif,TwelvePtFive_2B_2B_11_c0.tif,12.5mg,77,30.43478261,1
37,9,12,TwelvePtFive_2B_2B_12_c1.tif,TwelvePtFive_2B_2B_12_c0.tif,12.5mg,78,24.32432432,1
38,10,43,TwelvePtFive_2B_2B_13_c1.tif,TwelvePtFive_2B_2B_13_c0.tif,12.5mg,79,26.31578947,1
44,9,35,TwelvePtFive_2B_2B_14_c1.tif,TwelvePtFive_2B_2B_14_c0.tif,12.5mg,80,20.45454545,1
38,15,69,TwelvePtFive_2C_22_c1.tif,TwelvePtFive_2C_22_c0.tif,12.5mg,81,39.47368421,1
40,12,71,TwelvePtFive_2C_23_c1.tif,TwelvePtFive_2C_23_c0.tif,12.5mg,82,30,1
29,15,134,TwelvePtFive_2C_24_c1.tif,TwelvePtFive_2C_24_c0.tif,12.5mg,83,51.72413793,1
22,13,106,TwelvePtFive_2C_25_c1.tif,TwelvePtFive_2C_25_c0.tif,12.5mg,84,59.09090909,1
22,15,70,TwelvePtFive_2C_26_c1.tif,TwelvePtFive_2C_26_c0.tif,12.5mg,85,68.18181818,1
30,16,161,TwelvePtFive_2C_27_c1.tif,TwelvePtFive_2C_27_c0.tif,12.5mg,86,53.33333333,1
23,7,141,TwelvePtFive_2C_28_c1.tif,TwelvePtFive_2C_28_c0.tif,12.5mg,87,30.43478261,1
43,21,149,TwelvePtFive_2C_29_c1.tif,TwelvePtFive_2C_29_c0.tif,12.5mg,88,48.8372093,1
25,10,86,TwelvePtFive_2C_30_c1.tif,TwelvePtFive_2C_30_c0.tif,12.5mg,89,40,1
47,15,116,TwelvePtFive_2C_31_c1.tif,TwelvePtFive_2C_31_c0.tif,12.5mg,90,31.91489362,1
41,12,139,TwelvePtFive_2C_32_c1.tif,TwelvePtFive_2C_32_c0.tif,12.5mg,91,29.26829268,1
53,9,46,TwentyFive_3B_47_c1.tif,TwentyFive_3B_47_c0.tif,25mg,92,16.98113208,1
53,12,30,TwentyFive_3B_48_c1.tif,TwentyFive_3B_48_c0.tif,25mg,93,22.64150943,1
71,10,45,TwentyFive_3B_49_c1.tif,TwentyFive_3B_49_c0.tif,25mg,94,14.08450704,1
71,10,19,TwentyFive_3B_50_c1.tif,TwentyFive_3B_50_c0.tif,25mg,95,14.08450704,1
56,4,12,TwentyFive_3B_51_c1.tif,TwentyFive_3B_51_c0.tif,25mg,96,7.142857143,1
85,9,33,TwentyFive_3B_52_c1.tif,TwentyFive_3B_52_c0.tif,25mg,97,10.58823529,1
