Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,Group,FileName_DAPI,FileName_Green,ImageNumber,Math_PercentPositiveNuclei,Mean_Nuclei_Children_RO_PositiveNuclei_Count,Mean_Nuclei_Parent_h2AX,Mean_RO_PositiveNuclei_Location_Center_X,Mean_RO_PositiveNuclei_Location_Center_Y,Mean_RO_PositiveNuclei_Location_Center_Z,Mean_RO_PositiveNuclei_Parent_Nuclei,Mean_h2AX_Children_Nuclei_Count,Mean_h2AX_Intensity_IntegratedIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_IntegratedIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_LowerQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MADIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MassDisplacement_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MedianIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_UpperQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Location_Center_X,Mean_h2AX_Location_Center_Y,Mean_h2AX_Location_Center_Z,Mean_h2AX_Location_MaxIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Mean_Nuclei_Location_Center_X,Mean_h2AX_Mean_Nuclei_Location_Center_Y,Mean_h2AX_Mean_Nuclei_Location_Center_Z,Mean_h2AX_Mean_Nuclei_Number_Object_Number,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_h2AX,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_h2AX,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_h2AX,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_h2AX
38,2,41,PGVG,E22_PGVG_148_DAPI.TIF,E22_PGVG_148_FITC.TIF,18,5.263157895,0.052631579,1.921052632,778.7974451,540.7139585,0,18.5,0.048780488,0.932076149,2.177114081,0.065771223,0.029589104,0.130308689,0.114143439,0.178133079,0.072717747,0.096122952,0.092128763,0.04041929,0.04041929,0.021377322,0.039136175,0.128249101,525.1256765,464.4697595,0,525.1207441,464.4605611,0,525.1219512,464.5365854,0,778.7974451,540.7139585,0,18.5,0.048510697,0.05,0.048510697,0.05,-12.34107245,-12.62085734,0.067898905,1.816268641
34,8,50,PGVG,E22_PGVG_149_DAPI.TIF,E22_PGVG_149_FITC.TIF,19,23.52941176,0.235294118,7.323529412,346.123332,477.5602131,0,15.75,0.16,0.819261759,1.793617446,0.068491034,0.025099871,0.116704553,0.111007552,0.167132679,0.074262148,0.092965178,0.088091553,0.045302206,0.045302206,0.019578124,0.034853947,0.122536965,460.2991844,320.6507863,0,460.2974909,320.6502841,0,460.36,320.66,0,346.123332,477.5602131,0,15.75,0.049298264,0.05,0.049298264,0.05,-12.52874746,-12.54424508,0.066210961,1.699602429
31,9,43,PGVG,E22_PGVG_150_DAPI.TIF,E22_PGVG_150_FITC.TIF,20,29.03225806,0.290322581,4.774193548,533.3742928,477.2092057,0,15.33333333,0.209302326,0.841686218,2.007702599,0.064522951,0.024352691,0.103300273,0.105889094,0.164364505,0.070589974,0.090473377,0.085946616,0.045261806,0.045261806,0.017749823,0.034109604,0.1181137,554.7178003,610.1538253,0,554.72352,610.1369986,0,554.7209302,610.2093023,0,533.3742928,477.2092057,0,15.33333333,0.045661494,0.05,0.045661494,0.05,-12.30933114,-12.48258522,0.048316044,1.502381865
61,18,78,PGVG,E22_PGVG_151_DAPI.TIF,E22_PGVG_151_FITC.TIF,21,29.50819672,0.295081967,9.573770492,684.9947487,448.9263134,0,29.11111111,0.230769231,0.892771719,1.975186473,0.067018994,0.025408227,0.130547461,0.114835486,0.17134082,0.07387641,0.093544909,0.0903248,0.039867521,0.039867521,0.021806831,0.036523467,0.124422259,708.3804096,539.1407268,0,708.3928461,539.1303766,0,708.3076923,539.0512821,0,684.9947487,448.9263134,0,29.11111111,0.04771699,0.05,0.04771699,0.05,-12.23260525,-12.5327484,0.077722669,1.298317423
39,12,34,PGVG,E22_PGVG_152_DAPI.TIF,E22_PGVG_152_FITC.TIF,22,30.76923077,0.307692308,6.333333333,828.7677556,584.4813786,0,21.08333333,0.352941176,0.795004016,1.706549269,0.067014034,0.020332199,0.094148242,0.1031833,0.144648346,0.072874152,0.087491491,0.085655173,0.048304679,0.048304679,0.016532165,0.02773881,0.111027787,896.3350158,492.7881202,0,896.3474209,492.7790992,0,896.2058824,492.7941176,0,828.7677556,584.4813786,0,21.08333333,0.041478254,0.05,0.041478254,0.05,-12.47332313,-12.36279237,0.05978917,1.981596012
30,7,13,PGVG,E22_PGVG_153_DAPI.TIF,E22_PGVG_153_FITC.TIF,23,23.33333333,0.233333333,1.4,548.9455101,579.3309084,0,16.71428571,0.538461538,0.813113362,2.307807333,0.067306373,0.025452044,0.113139453,0.104869393,0.177464773,0.072849839,0.095253881,0.088694822,0.04543902,0.04543902,0.018592367,0.038092802,0.127107655,504.4948398,633.1971165,0,504.4836008,633.2248363,0,504.3846154,632.8461538,0,548.9455101,579.3309084,0,16.71428571,0.046112113,0.05,0.046112113,0.05,-12.26135717,-12.4335251,0.043851828,1.722079059
51,16,95,PGVG,E22_PGVG_154_DAPI.TIF,E22_PGVG_154_FITC.TIF,24,31.37254902,0.31372549,14.52941176,778.8765552,501.91646,0,23.5,0.168421053,0.863377949,2.046695502,0.065135786,0.026961565,0.119567149,0.111575253,0.172089642,0.070763054,0.092266161,0.088112017,0.03913891,0.03913891,0.02100337,0.037324695,0.12244289,760.5575137,490.2008206,0,760.5632638,490.2042955,0,760.5473684,490.2105263,0,778.8765552,501.91646,0,23.5,0.050541751,0.05,0.050541751,0.05,-12.35344058,-12.72629049,0.069842928,1.746825866
16,2,4,PGVG,E22_PGVG_155_DAPI.TIF,E22_PGVG_155_FITC.TIF,25,12.5,0.125,0.3125,899.2936693,313.0590611,0,3,0.5,0.892027172,3.940199939,0.063168537,0.043999382,0.102937882,0.10476844,0.310505848,0.069931411,0.123365723,0.102395663,0.038818958,0.038818958,0.020911636,0.07638715,0.174376292,841.9131805,279.9245982,0,841.9221841,279.9529533,0,842,280,0,899.2936693,313.0590611,0,3,0.047912076,0.05,0.047912076,0.05,-12.38295849,-12.30192937,0.029902759,1.272504465
39,11,49,PGVG,E22_PGVG_156_DAPI.TIF,E22_PGVG_156_FITC.TIF,26,28.20512821,0.282051282,8.769230769,699.2051831,446.6878349,0,18.72727273,0.224489796,0.913564482,2.612226519,0.066810537,0.026394992,0.123155126,0.106377182,0.177610969,0.071701677,0.095217987,0.090505307,0.039959952,0.039959952,0.019451915,0.038717472,0.124083875,841.8998705,362.1588005,0,841.8976345,362.1753957,0,841.877551,362.1836735,0,699.2051831,446.6878349,0,18.72727273,0.05184485,0.05,0.05184485,0.05,-12.43663025,-12.46740299,0.055163894,0.844853445
30,12,51,PGVG,E22_PGVG_157_DAPI.TIF,E22_PGVG_157_FITC.TIF,27,40,0.4,8.533333333,663.7784269,460.4438191,0,11.66666667,0.235294118,0.777543514,1.627307079,0.067233046,0.020337583,0.123971367,0.103116281,0.147397368,0.072272019,0.087581363,0.084972406,0.04602121,0.04602121,0.017404668,0.029244189,0.111954246,650.5256268,506.957531,0,650.513108,506.9691179,0,650.6078431,506.8823529,0,663.7784269,460.4438191,0,11.66666667,0.058689892,0.05,0.058689892,0.05,-12.46594117,-12.54028518,0.055334585,2.339487238
